rank,city,total,urban,rural,year,rate
58,Siirt,314.153,193.282,120.871,2013,%62 %38
72,Sinop,204.568,109.864,94.704,2013,%54 %46
43,ÅÄ±rnak,475.255,296.790,178.465,2013,%62 %38
32,Sivas,623.824,439.564,184.260,2013,%70 %30
23,TekirdaÄ,874.475,874.475,[not 1],2013,%100 %0
34,Tokat,598.708,358.155,240.553,2013,%60 %40
29,Trabzon,758.237,758.237,[not 1],2013,%100 %0
80,Tunceli,85.428,53.388,32.040,2013,%62 %38
52,UÅak,346.508,238.563,107.945,2013,%69 %31
19,Van,1.070.113,1.070.113,[not 1],2013,%100 %0
69,Yalova,220.122,155.016,65.106,2013,%70 %30
44,Yozgat,444.211,264.470,179.741,2013,%60 %40
33,Zonguldak,601.567,355.771,245.796,2013,%59 %41
6,Adana,2.165.595,2.165.595,[not 1],2014,%100 %0
35,AdÄ±yaman,597.835,382.755,215.080,2014,%64 %36
31,Afyonkarahisar,706.371,402.241,304.130,2014,%57 %43
39,AÄrÄ±,549.435,299.628,249.807,2014,%55 %45
49,Aksaray,384.252,245.122,139.130,2014,%64 %36
57,Amasya,321.913,221.404,100.509,2014,%69 %31
2,Ankara,5.150.072,5.150.072,[not 1],2014,%100 %0
5,Antalya,2.222.562,2.222.562,[not 1],2014,%100 %0
79,Ardahan,100.809,36.601,64.208,2014,%36 %64
76,Artvin,169.674,98.039,71.635,2014,%58 %42
20,AydÄ±n,1.041.979,1.041.979,[not 1],2014,%100 %0
17,BalÄ±kesir,1.189.057,1.189.057,[not 1],2014,%100 %0
74,BartÄ±n,189.405,75.085,114.320,2014,%40 %60
38,Batman,557.593,433.420,124.173,2014,%78 %22
81,Bayburt,80.607,45.488,35.119,2014,%56 %44
71,Bilecik,209.925,163.509,46.416,2014,%78 %22
64,BingÃ¶l,266.019,155.697,110.322,2014,%59 %41
55,Bitlis,338.023,189.375,148.648,2014,%56 %44
61,Bolu,284.789,195.357,89.432,2014,%69 %31
65,Burdur,256.898,167.736,89.162,2014,%65 %35
4,Bursa,2.787.539,2.787.539,[not 1],2014,%100 %0
41,Ãanakkale,511.790,297.086,214.704,2014,%58 %42
75,ÃankÄ±rÄ±,183.550,125.961,57.589,2014,%69 %31
40,Ãorum,527.220,374.976,152.244,2014,%71 %29
21,Denizli,978.700,978.700,[not 1],2014,%100 %0
